MaNGAID,OBJRA,OBJDEC
1-116081,338.67001754,14.6605171631
1-116087,338.83846536,14.0737146585
1-116100,339.099452453,14.3017792173
1-116283,338.753121825,13.4661084782
1-116340,339.504068189,14.2989348899
1-1166,150.653506903,-1.00312045564
1-116700,344.395370877,13.042933604
1-116706,344.508086114,13.1344936123
1-116725,344.361223465,13.0016624035
1-116728,344.721760841,13.3587307861
1-116828,342.789245605,14.7651786804
1-116874,343.47968208,15.1399851717
1-116908,343.898042687,14.7243174987
1-116921,344.499955743,14.1559523945
1-116989,345.667962904,13.3290923124
1-116990,345.624235581,12.9331194997
1-117014,345.929436396,13.9265347034
1-117020,345.220214848,13.1777643243
1-117026,345.554607554,13.9036528836
1-117038,345.289605685,13.8480808579
1-117056,345.015282876,13.0742523564
1-117084,344.901090384,13.36983823
1-117086,344.750762939,13.4976882935
1-117088,344.899373098,14.089555413
1-117091,344.759688199,13.8135183561
1-117104,344.50104744,13.1684602735
1-117115,344.642894441,15.1727847674
1-117122,344.468144244,14.7829415454
1-117169,345.302645351,14.7446061902
1-117313,347.324121294,13.9812402244
1-117342,347.050280491,13.8228018613
1-117343,346.940831884,14.3764490519
1-117381,346.568490769,13.9823383344
1-117388,346.402363755,13.6225363994
1-117401,345.817495457,13.6833706267
1-117419,345.984515905,15.2588507225
1-117437,346.258517756,14.8343620594
1-117465,346.792989432,15.0098486321
1-117543,347.925261312,15.1106356934
1-117559,349.826670854,13.9116406686
1-117610,348.832759473,13.7281958172
1-117635,348.394663994,13.986785749
1-117663,348.281142294,14.2982899565
1-117666,348.102169548,13.9512873922
1-117694,347.762970034,13.618508797
1-117697,348.146860856,13.2744503009
1-117711,347.891964346,15.2503007949
1-117725,347.472604789,14.9275434011
1-117730,348.292416124,15.1422394776
1-117763,348.091177213,14.8670609243
1-117768,348.094573572,14.506319146
1-117771,348.652020652,15.3580000549
1-117781,348.41835107,14.9814504668
1-117799,348.678929573,14.7116768599
1-117856,349.576170174,15.3025500639
1-117864,349.758034985,15.0496749407
1-117882,351.928561855,14.5447516825
1-117892,351.090747599,13.922489976
1-117925,350.775678062,13.6668631057
1-117936,351.176577526,14.6088023672
1-117938,351.221370089,14.3499034483
1-117946,350.614211202,13.8158281524
1-117966,350.866739845,14.0917589642
1-117978,350.861246846,14.1316765073
1-117981,350.564057431,14.0807631771
1-117984,350.764799058,14.407344322
1-117998,350.440541417,13.8678328273
1-118005,350.496384644,14.2553377599
1-118008,350.478671998,14.6454521636
1-118034,349.484849576,13.8978074818
1-118054,349.789238646,15.7270930273
1-118083,349.916981775,14.8602571177
1-118109,350.446118845,15.0832698653
1-118129,350.699550466,14.8463214763
1-118142,350.809630916,14.6904736749
1-118166,351.015131499,15.2058786584
1-118169,351.043670313,14.9432102018
1-118178,350.903801841,15.2589795654
1-118184,351.147278745,14.7020949842
1-118202,351.229458941,15.3221434816
1-118204,351.335825376,15.2129932208
1-118217,351.515356158,15.5484959526
1-118221,351.410626495,15.3544432056
1-118223,351.38220535,15.3699345479
1-118238,351.79876,14.97633
1-118288,352.556312689,13.4671288661
1-118294,352.613977317,13.5485257723
1-118304,352.705096118,14.5994909154
1-118325,352.348200554,14.2043024757
1-118326,352.614670321,14.4588776123
1-118337,351.921854156,14.2411408952
1-118349,351.99968148,13.8520005476
1-118358,351.319908557,14.3598835491
1-118363,351.22558,14.2152
1-118369,351.513061043,14.6296134374
1-118373,351.802635815,13.4727794201
1-118379,351.788818704,13.7518368398
1-118381,351.203999456,13.9965391548
1-118382,351.108234772,13.97227969
1-118383,351.21763747,14.1389423892
1-118391,351.072128381,14.426938117
1-118394,351.120653258,14.304154369
1-118418,350.862680003,14.3258622859
1-118421,350.927810259,14.1278559588
1-118427,351.303985587,15.7943078203
1-118428,351.480215893,15.8283903442
1-118433,350.794118273,14.8200132316
1-118444,351.684831787,15.7149629237
1-118449,351.59377807,15.6762488281
1-118454,351.264750488,14.8910262705
1-118456,351.20103164,15.0000644401
1-118457,351.10604,14.79174
1-118480,351.780322825,15.2270050617
1-118491,352.308310039,15.436146886
1-118496,351.957182437,15.1192316032
1-118520,352.758678642,14.9990625909
1-118543,352.731162857,15.5764878473
1-1186,151.22077406,-0.0583135939724
1-118940,356.949098991,13.7087038903
1-118970,356.650300129,13.9464420972
1-118977,356.716132834,14.4806737696
1-119212,356.692322988,16.0431110447
1-119278,358.666956442,13.8882853416
1-119315,358.334562353,14.006344939
1-119362,358.10149882,14.5930685854
1-119373,357.971643427,13.6955810907
1-119410,357.857296617,14.1934171557
1-119566,358.529318093,15.969869894
1-119640,0.902841183943,14.2427753819
1-119684,0.380940562707,14.4074589516
1-119687,0.456361199121,14.4396890973
1-119740,359.724386549,14.0728154716
1-119742,359.752298426,14.0022801446
1-119819,358.542291555,15.2223679679
1-119845,359.858576025,16.1210039499
1-119871,0.00880833846515,15.8817740664
1-119904,0.0952066772657,16.1479198197
1-119929,0.473564621693,16.1375640993
1-119975,2.60626977945,14.289729307
1-120019,2.027154333,13.7580267287
1-120050,1.79846,13.76851
1-120061,1.99054316206,15.1034094009
1-120074,1.91844039127,14.7518655117
1-120100,1.6220900939,14.1824004602
1-120103,1.58173835379,14.3274536827
1-120162,0.934672988783,16.186917304
1-120269,1.60658690905,15.428792568
1-120324,2.25926960115,15.1265910173
1-120331,2.19167130266,15.8618041234
1-120335,2.25851028189,15.909608908
1-120369,4.17718720645,14.0394249591
1-120450,3.11891514753,14.1777375236
1-120518,2.0865914826,15.1560667655
1-120538,2.39588531487,15.6083144588
1-120547,3.46991672644,15.9618305169
1-120619,3.95333260723,15.6041423221
